Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Pi Pico breakout board","To breakout pi Pico ports",1,23.00,"https://cart.jlcpcb.com/shopcart/cart/","JLCPCB"
"PCB parts","To put PCB together and make it work (See Pictures)",1,19.00,"https://www.digikey.com/ordering/shoppingcart","Digikey"
"Power supply","To run the pi 4",1,10.00,"https://www.amazon.com/gp/product/B097P2NLVH/ref=ox_sc_act_title_3?smid=A2NBN5PD2G7LDZ&psc=1","Amazon"
"Cooler","So the pi 4 dose not get to hot depending on the application you use",1,12.00,"https://www.amazon.com/gp/product/B091L1XKL6/ref=ox_sc_act_title_2?smid=AOP0CH6UTUPHT&psc=1","Amazon"
"Pi 4 4gb ","To run the whole computure",1,90.00,"https://gilbertengineeringusa.com/products/raspberry-pi?variant=49495329603896","gilbert engineering usa"
"3d printed parts","Wall Mounted Arm ( I don't have a 3d Printer)",1,110.00,"https://member.pcbway.com/Order/CartList?t=2","PCB way"
"Screen 7in","To show the OS and pi settings",1,53.00,"https://www.amazon.com/ELECROW-Display-1024X600-Function-Raspberry/dp/B08FMNDDSL/ref=sr_1_1_sspa?crid=3UUU1IP19CA51&dib=eyJ2IjoiMSJ9.pNILL4dRcNGGsTvRP5SWlYsDGftMRNUotXbiXN86VR0umyZJA0YEHQCuSu2SLaxxuXy3gthC3CDIyM1HGoBq-Bb-NbDctWQBh4XB2Z_dShK1VctsVOFfcpIJnIjy0LBtWA0IgUJpXLcOx4Jm7HUxRDNChM3TNErwPyQHZB40_JtrpjazEzK6-CpvS72iKMaJfUERLzJ_nNu3c1aKKdcz9KgR6lTp3dkOirDRrT_kZ4s.Tf08YpCB2vSjZPpQjnHV_FoUigmljEY8AEAgVTo4dEE&dib_tag=se&keywords=pi%2B4%2Bb%2Bscreen%2B7%2Bin&qid=1777579403&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=pi%2B4%2Bb%2Bscreen%2B7%2Bin%2Caps%2C137&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1","Amazon"
