Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Screen 7in","Screen things",1,53.00,"https://www.amazon.com/ELECROW-Display-1024X600-Function-Raspberry/dp/B08FMNDDSL/ref=sr_1_1_sspa?crid=3UUU1IP19CA51&dib=eyJ2IjoiMSJ9.pNILL4dRcNGGsTvRP5SWlYsDGftMRNUotXbiXN86VR0umyZJA0YEHQCuSu2SLaxxuXy3gthC3CDIyM1HGoBq-Bb-NbDctWQBh4XB2Z_dShK1VctsVOFfcpIJnIjy0LBtWA0IgUJpXLcOx4Jm7HUxRDNChM3TNErwPyQHZB40_JtrpjazEzK6-CpvS72iKMaJfUERLzJ_nNu3c1aKKdcz9KgR6lTp3dkOirDRrT_kZ4s.Tf08YpCB2vSjZPpQjnHV_FoUigmljEY8AEAgVTo4dEE&dib_tag=se&keywords=pi%2B4%2Bb%2Bscreen%2B7%2Bin&qid=1777579403&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=pi%2B4%2Bb%2Bscreen%2B7%2Bin%2Caps%2C137&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1","Amazon"
"Pi 4 8gb","Pi 4, Case, cooling and storage.",1,190.00,"https://www.amazon.com/RasTech-Raspberry-Starter-Heatsink-Screwdriver/dp/B0B7RZQ3HY/ref=sr_1_9?crid=2IGL57TFCMN5Z&dib=eyJ2IjoiMSJ9.1oajx5myx0DpkRs5felIvh6eKMo0n2eilUlvPKsyMi2kpXOefEnZg4FTdlmD2SWv42Z1HWbAbJC-oDj_c0NqNGY4StyJErLRWlL2_7VT2DP-bE3L_eDwkAvoxjmWFpGbvvpUh4KvDVrgb1s_DASjys-PMKd3O9aIXcQxUjKSfvtETonEhyM2I0wRsLHP2U2EgnCnRJzga113XZHGL9EAoR5j6AEKkPrq0Kp-bPv7VSg.W9EHQlJDx8rpK_Esn1h1hCjch1yz6qZ-Rd1p_33YjEQ&dib_tag=se&keywords=pi%2B5%2B8gb%2Bbundle&qid=1777579763&refinements=p_36%3A-20000&rnid=386442011&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=pi%2B5%2B8gb%2Bbundle%2Caps%2C263&sr=8-9&th=1","Amazon"
"Wall mount holder","Hold the screen and pi",1,19.00,"https://www.amazon.com/Vanconwey-AluminiumTablet-360%C2%B0Rotation-Adjustable-VC-Z1218/dp/B0FHP66V7D/ref=sr_1_9?crid=1C4ZR3CT6DEFW&dib=eyJ2IjoiMSJ9.GJPBbeXlE_JHeLaOd6k82yyCBFx8C1F-YjgVWm7Vl5np7R0cTonO3JtfoLZ7vM3tux6Mq3W75tWqOzJN5BXfO85PZSrNRDE0mTFavlucTbV3SsH3OoA_3_SNcmO3I-ZuZd21wAlEiQ0szg-TEHP0sUKkOeSW5yY5CwODuiLzn9mhwLPnUP7icBhHEF9XClH16XNmdZi6qY24BvLPJL8HP6QF_4xcbkM3TuU52acneOk.k3fIbhnAuOogo9GDmyEiTU_YTs6b6T8JIUeSfmGRF6k&dib_tag=se&keywords=Tablet%2Bholder%2Bwall%2Bmount&qid=1777579989&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=tablet%2Bholder%2Bwall%2Bmoun%2Caps%2C265&sr=8-9&th=1","Amazon"
